trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
34,-999999,55,75,1.1670227760977792,2.8679738446368983,2.115998300500155,5,36,50,0.002,0.08,True,True,True,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
44,-999999,8,50,2.0831630924027635,2.6828113662999264,6.157803061430818,3,36,150,0.002,0.08,False,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
81,-999999,24,50,1.0026297401910924,1.306764621047439,9.64309668693912,6,24,100,0.003,0.08,True,True,False,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
83,-999999,10,10,2.231374382824808,1.5759258063471822,11.767822174183806,6,36,200,0.0,0.12,False,True,False,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
125,-999999,24,30,1.5380450459852721,2.778637435675575,7.150309318883018,3,48,150,0.001,0.08,True,True,False,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
169,-999999,12,50,1.7445302261847073,3.1070705190812835,11.402775970552682,1,24,100,0.003,0.08,True,True,False,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
186,-999999,20,5,1.3633579481266709,2.1687978628269593,7.456595515137497,1,24,300,0.001,0.05,False,True,True,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
333,-999999,20,14,1.7296129287428472,0.7370283938619498,4.861615845368913,1,24,100,0.0005,0.08,False,True,False,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
342,-999999,20,150,0.8208962208637717,3.072798855293807,3.381946311348859,3,36,50,0.001,0.05,False,True,False,51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
378,-999999,16,50,2.2132341716993267,1.2017045916234714,2.1986050103725856,2,24,100,0.0005,0.08,True,True,True,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
449,-999999,12,100,1.0729682671340985,1.2132104140525097,13.179299661599844,2,72,400,0.003,0.05,False,True,False,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
500,-999999,40,150,0.6604866545045465,3.359363828282216,8.529755308657808,3,36,600,0.003,0.08,False,True,False,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
170,-999996,10,10,1.1249569811965505,1.273225487106918,1.6944174461556647,6,24,100,0.0005,0.12,True,True,False,13,12,0.4166666666666667,0.7097893989042038,-1.9745618139951944,-71737670987662.36,-0.3620464674529014,-2.040227987280581,3.9932274511587242,4.045449992944997,2.1227967204714897,-170.0189989400494,-0.16677107340849742,997.9871109128844,-1004.3090774064309,0.9997494238196062,-1.0,-0.16677107340849742,0.9937051584658853,0.02321083172147002,7,4,0.18146718146718147,534.1627371915075,1065.311580868158
555,-999999,160,5,1.31654187478532,2.048039833344144,6.115765172376836,6,72,200,0.0005,0.12,True,True,True,58,5,0.2,0.6864292478918531,-1.2060009408992336,-1.5326376323561965,-0.30618231306098614,-1.1896850888255286,2.749876056668931,2.7753046185786507,1.6938261546446627,-237.93701776510784,-0.2289382098082599,2604.307433841978,-948.4981306668792,2.6306135695373514,-0.9438261546446628,-0.2289382098082599,2.7457169915674124,0.009671179883945842,7,3,0.07142857142857142,142.54035561806555,282.9833651242417
548,-999998,30,50,2.8430987550542235,1.4301230913731073,2.903978708075822,5,36,300,0.003,0.2,False,True,True,33,4,0.25,0.5583477201623871,-1.8132081149711121,0.0,-0.31262246455762394,-1.3117514363457012,2.9701000000000057,3.0,1.8227222836325954,-327.93785908642354,-0.32272228363259525,1658.3485636543057,-990.0333333333333,1.709110865469619,-1.0,-0.32272228363259525,1.6750431604871612,0.007736943907156673,5,3,0.04247104247104247,125.60679772496295,256.5058346136085
260,-999990,10,200,1.077781560324686,1.3993862240324215,12.073736630144841,3,36,300,0.0005,0.2,True,False,True,4,1,0.0,0.0,-3.4202718002551915,0.0,-0.7075210175509938,-1.0,1.0,0.9999999999999999,0.9999999999999999,-1000.0,-0.9999999999999999,0.0,-1000.0,0.0,-0.9999999999999999,-0.9999999999999999,0.0,0.0019342359767891683,3,1,0.005791505791505791,29.30915151026679,60.55604417829682
